feed_id,source_id,name,feed_name,language,cca,coverage,covered_area,url,rss_url
43,57,ZDNet,central-europe,en,US,global,eu,,http://zdnet.com.feedsportal.com/c/35462/f/675667/index.rss
44,57,ZDNet,mobile news,en,US,global,world,,http://zdnet.com.feedsportal.com/c/35462/f/675690/index.rss
45,57,ZDNet,norse-code,en,US,global,eu,,http://zdnet.com.feedsportal.com/c/35462/f/675692/index.rss
46,57,ZDNet,samsung,en,US,global,world,,http://zdnet.com.feedsportal.com/c/35462/f/675865/index.rss
47,57,ZDNet,microsoft,en,US,global,world,,http://zdnet.com.feedsportal.com/c/35462/f/675832/index.rss
48,54,Treehugger,energy disasters,en,GE,global,world,,http://www.treehugger.com/feeds/category/energy-disasters/
49,54,Treehugger,environmental policy,en,GE,global,world,,http://www.treehugger.com/feeds/category/environmental-policy/
50,54,Treehugger,green investments,en,GE,global,world,,http://www.treehugger.com/feeds/category/green-investments/
51,54,Treehugger,sustainable product design,en,GE,global,world,,http://www.treehugger.com/feeds/category/sustainable-product-design/
52,54,Treehugger,wind technology,en,GE,global,world,,http://www.treehugger.com/feeds/category/wind-technology/
53,54,Treehugger,sustainable agriculture,en,GE,global,world,,http://www.treehugger.com/feeds/category/sustainable-agriculture/
54,54,Treehugger,renewable energy,en,GE,global,world,,http://www.treehugger.com/feeds/category/renewable-energy/
55,54,Treehugger,corporate responsibility,en,GE,global,world,,http://www.treehugger.com/feeds/category/corporate-responsibility/
56,54,Treehugger,climate change,en,GE,global,world,,http://www.treehugger.com/feeds/category/climate-change/
57,54,Treehugger,solar technology,en,GE,global,world,,http://www.treehugger.com/feeds/category/solar-technology/
58,54,Treehugger,sustainable fashion,en,GE,global,world,,http://www.treehugger.com/feeds/category/sustainable-fashion/
59,54,Treehugger,clean technology,en,GE,global,world,,http://www.treehugger.com/feeds/category/clean-technology/
60,54,Treehugger,economics,en,GE,global,world,,http://www.treehugger.com/feeds/category/economics/
61,54,Treehugger,science,en,GE,global,world,,http://www.treehugger.com/feeds/category/science/
62,54,Treehugger,energy,en,GE,global,world,,http://www.treehugger.com/feeds/category/energy/
63,54,Treehugger,health,en,GE,global,world,,http://www.treehugger.com/feeds/category/health/
64,54,Treehugger,business,en,GE,global,world,,http://www.treehugger.com/feeds/category/business/
65,54,Treehugger,technology,en,GE,global,world,,http://www.treehugger.com/feeds/category/technology/
66,54,Treehugger,clean water,en,GE,global,world,,http://www.treehugger.com/feeds/category/clean-water/
67,54,Treehugger,energy policy,en,GE,global,world,,http://www.treehugger.com/feeds/category/energy-policy/
68,54,Treehugger,fossil fuels,en,GE,global,world,,http://www.treehugger.com/feeds/category/fossil-fuels/
69,198,El Comercio Peru Mercados Feed,El Comercio Peru Ejecutivos Feed,es,PE,global,world,,http://elcomercio.pe/feed/economia/ejecutivos.xml
70,198,El Comercio Peru Mercados Feed,El Comercio Peru  Negocios Feed,es,PE,global,world,,http://elcomercio.pe/feed/economia/negocios.xml
71,198,El Comercio Peru Mercados Feed,El Comercio Peru Economia Feed,es,PE,global,world,,http://elcomercio.pe/feed/economia.xml
72,198,El Comercio Peru Mercados Feed,El Comercio Peru Mercados Feed,es,PE,global,world,,http://elcomercio.pe/feed/economia/mercados.xml
73,198,El Comercio Peru Mercados Feed,El Comercio Peru Empresas de Tecnologia Feed,es,PE,global,world,,http://elcomercio.pe/feed/tecnologia/empresas.xml
74,72,cnbc,business,en,US,global,world,,http://www.cnbc.com/id/10001147/device/rss/rss.html
75,72,cnbc,economy,en,US,global,world,,http://www.cnbc.com/id/20910258/device/rss/rss.html
76,72,cnbc,finance,en,US,global,world,,http://www.cnbc.com/id/10000664/device/rss/rss.html
77,72,cnbc,technology,en,US,global,world,,http://www.cnbc.com/id/19854910/device/rss/rss.html
78,72,cnbc,health-care,en,US,global,world,,http://www.cnbc.com/id/10000108/device/rss/rss.html
79,72,cnbc,autos,en,US,global,world,,http://www.cnbc.com/id/10000101/device/rss/rss.html
80,72,cnbc,energy,en,US,global,world,,http://www.cnbc.com/id/19836768/device/rss/rss.html
81,81,Business Standard,latest,en,IN,global,world,,http://www.business-standard.com/rss/latest.rss
82,81,Business Standard,companies,en,IN,global,world,,http://www.business-standard.com/rss/companies-101.rss
83,81,Business Standard,economy,en,IN,global,world,,http://www.business-standard.com/rss/economy-policy-102.rss
84,81,Business Standard,finance,en,IN,global,world,,http://www.business-standard.com/rss/finance-103.rss
85,81,Business Standard,tech,en,IN,global,world,,http://www.business-standard.com/rss/technology-108.rss
86,86,Friends of the Earth,green economy,en,NL,global,world,,https://www.foe.co.uk/rss/economy_news_rss.xml
87,86,Friends of the Earth,Press releases,en,NL,global,world,,https://www.foe.co.uk/rss/press_releases.xml
88,86,Friends of the Earth,Environmental justice,en,NL,global,world,,https://www.foe.co.uk/rss/env_justice_news_rss.xml
89,86,Friends of the Earth,Climate,en,NL,global,world,,https://www.foe.co.uk/rss/climate_news_rss.xml
90,86,Friends of the Earth,Land food water,en,NL,global,world,,https://www.foe.co.uk/rss/land_food_water_news_rss.xml
91,86,Friends of the Earth,Community,en,NL,global,world,,https://www.foe.co.uk/rss/community_news_rss.xml
92,86,Friends of the Earth,Natural ressources,en,NL,global,world,,https://www.foe.co.uk/rss/natural_resources_news_rss.xml
93,89,United Nations Environment Programme,news update,en,KE,global,world,,http://www.unep.org/rss?rss-id=pr&l=en
94,89,United Nations Environment Programme,Climate change,en,KE,global,world,,http://www.unep.org/webservices/wsGetRSS.aspx?ws=news&TagsList=30
95,89,United Nations Environment Programme,Disasters and conflicts,en,KE,global,world,,http://www.unep.org/webservices/wsGetRSS.aspx?ws=news&TagsList=33
96,89,United Nations Environment Programme,Environmental governance,en,KE,global,world,,http://www.unep.org/webservices/wsGetRSS.aspx?ws=news&TagsList=32
97,89,United Nations Environment Programme,Harmful substances,en,KE,global,world,,http://www.unep.org/webservices/wsGetRSS.aspx?ws=news&TagsList=34
98,89,United Nations Environment Programme,Ressource efficiency,en,KE,global,world,,http://www.unep.org/webservices/wsGetRSS.aspx?ws=news&TagsList=35
99,89,United Nations Environment Programme,Ecosystem management,en,KE,global,world,,http://www.unep.org/webservices/wsGetRSS.aspx?ws=news&TagsList=31
100,119,ECA Watch,Newsletter,en,CA,global,world,,http://www.eca-watch.org/taxonomy/term/77/feed
101,119,ECA Watch,Middle east and north africa,en,CA,global,world,,http://www.eca-watch.org/taxonomy/term/76/feed
102,119,ECA Watch,Americas and US,en,CA,global,world,,http://www.eca-watch.org/taxonomy/term/75/feed
103,119,ECA Watch,Africa,en,CA,global,world,,http://www.eca-watch.org/taxonomy/term/74/feed
104,119,ECA Watch,Asia and the pacific,en,CA,global,world,,http://www.eca-watch.org/taxonomy/term/73/feed
105,119,ECA Watch,Europe  and central asia,en,CA,global,world,,http://www.eca-watch.org/taxonomy/term/72/feed
106,25,Greenpeace,Greenpeace Intl. - All news,en,NL,global,world,,http://www.greenpeace.org/international/Templates/Planet3/Handlers/RssHandler.ashx?type=news&epslanguage=en-GB
107,25,Greenpeace,Greenpeace International - News,en,NL,global,world,,http://feeds.feedburner.com/GreenpeaceNews
108,25,Greenpeace,Greenpeace UK - Blog,en,NL,global,world,,http://feeds.feedburner.com/greenpeace/uk
109,25,Greenpeace,Greenpeace UK - Press releases,en,NL,global,world,,http://feeds.feedburner.com/greenpeaceukpr
110,25,Greenpeace,Greenpeace UK - Reports,en,NL,global,UK,,http://feeds.feedburner.com/greenpeaceukreports
111,25,Greenpeace,Greenpeace UK - In the news,en,NL,global,UK,,http://feeds.feedburner.com/greenpeaceukinthenews
112,25,Greenpeace,Greenpeace UK - Climate,en,NL,global,UK,,http://feeds.feedburner.com/greenpeaceukclimate
113,25,Greenpeace,Greenpeace UK - Forests,en,NL,global,UK,,http://feeds.feedburner.com/greenpeaceukforests
114,25,Greenpeace,Greenpeace UK - Oceans,en,NL,global,UK,,http://feeds.feedburner.com/greenpeaceukoceans
115,25,Greenpeace,Greenpeace UK - Peace,en,NL,global,UK,,http://feeds.feedburner.com/greenpeaceukpeace
116,25,Greenpeace,Greenpeace Intl. - Press releases,en,NL,global,world,,http://www.greenpeace.org/international/Templates/Planet3/Handlers/RssHandler.ashx?type=press&epslanguage=en-GB
117,25,Greenpeace,Greenpeace Europe - News,en,NL,global,europe,,http://www.greenpeace.org/eu-unit/en/rss/greenpeace-eu-news/245/
118,25,Greenpeace,Greenpeace East Asia - Press releases,en,NL,global,east asia,,http://feeds.feedburner.com/gpea/pressreleases
119,25,Greenpeace,Greenpeace East Asia - Blog,en,NL,global,east asia,,http://feeds.feedburner.com/gpea/blogt
120,25,Greenpeace,Greenpeace East Asia - Publications,en,NL,global,east asia,,http://feeds.feedburner.com/gpea/publications
121,14,CBC,Business,en,CA,global,world,,http://www.cbc.ca/cmlink/rss-business
122,14,CBC,Technology,en,CA,global,world,,http://www.cbc.ca/cmlink/rss-technology
123,14,CBC,World,en,CA,global,world,,http://www.cbc.ca/cmlink/rss-world
124,14,CBC,Canada,en,CA,global,CA,,http://www.cbc.ca/cmlink/rss-canada
125,53,TheStreet,biotech,en,US,global,world,,http://feeds.thestreet.com/tsc/feeds/rss/headlines-and-perspectives/biotech?format=xml
126,53,TheStreet,technology,en,US,global,world,,http://www.thestreet.com/topic/47561/rss.html
127,53,TheStreet,finance and banking,en,US,global,world,,http://feeds.thestreet.com/tsc/feeds/rss/headlines-and-perspectives/financial-services?format=xml
128,199,Terra Peru,Terra Peru,es,PE,global,world,,http://www.terra.com.pe/rss
129,200,El Pais Uruguay,El Pais Uruguay,es,UY,global,world,,http://www.elpais.com.uy/rss/
130,201,La REd 21,La REd 21,es,UY,global,world,,http://www.lr21.com.uy/feed
131,90,European Environment Agency,EEA news,en,DK,global,world,,http://www.eea.europa.eu/subscription/news-feeds
132,93,Transparency International,main,en,DE,global,world,,http://www.transparency.org.uk/feed/?format=feed
133,96,The Nature Conservancy,Newsroom,en,US,global,world,,http://www.nature.org/newsfeatures/pressreleases/rss/index.htm
134,97,Marine Stewardship Council,Press releases,en,GB,global,world,,https://www.msc.org/newsroom/newsfeed
135,101,Thomson Reuters Foundation,main,en,GB,global,world,,http://news.trust.org/data/feeds/acs/?&f_type=article&sbd=1
136,103,Center for Economic and Social Rights,latest updates,en,US,global,world,,http://www.cesr.org/rssfeed.php
137,108,Fauna and Flora International,News,en,GB,global,world,,http://www.fauna-flora.org/news/feed/
138,112,NGO Shipbreaking Platform,main,en,BE,global,world,,http://www.shipbreakingplatform.org/feed/
139,116,Tax Justice Network,blog feed,en,GB,global,world,,http://www.taxjustice.net/category/blog/feed/
140,118,United Nations Security Council,news,en,US,global,world,,http://www.un.org/apps/news/rss/rss_peacesecurity.asp
141,120,The Verge,Long Form,en,US,global,world,,http://www.theverge.com/rss/group/longform/index.xml
142,120,The Verge,Microsoft,en,US,global,world,,http://www.theverge.com/microsoft/rss/index.xml
143,120,The Verge,Exclusive,en,US,global,world,,http://www.theverge.com/rss/group/exclusive/index.xml
144,120,The Verge,Breaking,en,US,global,world,,http://www.theverge.com/rss/group/breaking/index.xml
145,120,The Verge,Google,en,US,global,world,,http://www.theverge.com/google/rss/index.xml
146,120,The Verge,Mobile,en,US,global,world,,http://www.theverge.com/mobile/rss/index.xml
147,120,The Verge,Policy & Law,en,US,global,world,,http://www.theverge.com/policy/rss/index.xml
148,120,The Verge,Web & Social,en,US,global,world,,http://www.theverge.com/web/rss/index.xml
149,120,The Verge,Apple,en,US,global,world,,http://www.theverge.com/apple/rss/index.xml
150,120,The Verge,Reporting,en,US,global,world,,http://www.theverge.com/rss/group/report/index.xml
151,120,The Verge,Editorial,en,US,global,world,,http://www.theverge.com/rss/group/editorial/index.xml
152,120,The Verge,Apps,en,US,global,world,,http://www.theverge.com/apps/rss/index.xml
153,120,The Verge,Blackberry,en,US,global,world,,http://www.theverge.com/rss/group/blackberry/index.xml
154,123,FiveThirtyEight,all,en,US,global,world,,http://fivethirtyeight.com/all/feed
155,125,The Register,all,en,GB,global,world,,http://www.theregister.co.uk/headlines.atom
156,125,The Register,business,en,GB,global,world,,http://www.theregister.co.uk/business/headlines.atom
157,125,The Register,Data Centre,en,GB,global,world,,http://www.theregister.co.uk/data_centre/headlines.atom
158,125,The Register,Software,en,GB,global,world,,http://www.theregister.co.uk/software/headlines.atom
159,125,The Register,Security,en,GB,global,world,,http://www.theregister.co.uk/security/headlines.atom
160,126,Ecouterre,News,en,US,global,world,,http://www.ecouterre.com/category/news/feed
161,126,Ecouterre,Reuse-Recycle,en,US,global,world,,http://www.ecouterre.com/category/reuse-recycle/feed
162,126,Ecouterre,Features,en,US,global,world,,http://www.ecouterre.com/category/features/feed
163,130,The Drive,News,en,,global,world,,http://www.thedrive.com/rss/news
164,130,The Drive,Drive Wire,en,,global,world,,http://www.thedrive.com/rss/drive-wire
165,130,The Drive,New Cars,en,,global,world,,http://www.thedrive.com/rss/new-cars
166,130,The Drive,The Drive 50,en,,global,world,,http://www.thedrive.com/rss/the-drive-50
167,130,The Drive,Tech,en,,global,world,,http://www.thedrive.com/rss/tech
168,132,FierceBiotech,main,en,,global,world,,http://www.fiercebiotech.com/rss/biotech/xml
169,131,FiercePharma,main,en,,global,world,,http://www.fiercepharma.com/rss/pharma/xml
170,202,5 dias,5 dias,es,PY,global,world,,http://www.5dias.com.py/feed
171,105,Earthrights International,main,en,US,global,world,,https://www.earthrights.org/rss.xml
172,36,The New York Times,business,en,US,global,world,,http://rss.nytimes.com/services/xml/rss/nyt/Business.xml
173,39,Reuters,tech,en,GB,global,world,,http://mf.feeds.reuters.com/reuters/technologyNews
174,39,Reuters,uk financial services,en,GB,global,uk,,http://mf.feeds.reuters.com/reuters/UKBankingFinancial
175,39,Reuters,uk autos and transport,en,GB,global,uk,,http://mf.feeds.reuters.com/reuters/UKBasicIndustries
176,39,Reuters,uk consumer products and retail,en,GB,global,uk,,http://mf.feeds.reuters.com/reuters/UKConsumerProducts
177,39,Reuters,uk news,en,GB,global,uk,,http://mf.feeds.reuters.com/reuters/UKdomesticNews
178,39,Reuters,uk funds,en,GB,global,uk,,http://mf.feeds.reuters.com/reuters/UKFundsNews
179,39,Reuters,uk health and drugs,en,GB,global,uk,,http://mf.feeds.reuters.com/reuters/UKHealth
180,39,Reuters,uk health,en,GB,global,uk,,http://mf.feeds.reuters.com/reuters/UKHealthNews
181,39,Reuters,uk science,en,GB,global,uk,,http://mf.feeds.reuters.com/reuters/UKScienceNews
182,39,Reuters,uk technology media and telecom,en,GB,global,uk,,http://mf.feeds.reuters.com/reuters/UKMedia
183,39,Reuters,uk natural resources,en,GB,global,uk,,http://mf.feeds.reuters.com/reuters/UKNaturalResources
184,7,Associated Press,business,en,US,global,world,,http://hosted2.ap.org/atom/APDEFAULT/f70471f764144b2fab526d39972d37b3
185,7,Associated Press,technology,en,US,global,world,,http://hosted2.ap.org/atom/APDEFAULT/495d344a0d10421e9baa8ee77029cfbd
186,7,Associated Press,health,en,US,global,world,,http://hosted2.ap.org/atom/APDEFAULT/bbd825583c8542898e6fa7d440b9febc
187,7,Associated Press,science,en,US,global,world,,http://hosted2.ap.org/atom/APDEFAULT/b2f0ca3a594644ee9e50a8ec4ce2d6de
188,7,Associated Press,world news,en,US,global,world,,http://hosted2.ap.org/atom/APDEFAULT/cae69a7523db45408eeb2b3a98c0c9c5
189,7,Associated Press,us news,en,US,global,us,,http://hosted2.ap.org/atom/APDEFAULT/386c25518f464186bf7a2ac026580ce7
190,60,The Guardian,uk news,en,GB,global,uk,,http://www.theguardian.com/uk-news/rss
191,60,The Guardian,uk business,en,GB,global,uk,,http://www.theguardian.com/uk/business/rss
192,60,The Guardian,uk environment,en,GB,global,uk,,http://www.theguardian.com/uk/environment/rss
193,60,The Guardian,uk money,en,GB,global,uk,,http://www.theguardian.com/uk/money/rss
194,60,The Guardian,uk technology,en,GB,global,uk,,http://www.theguardian.com/uk/technology/rss
195,60,The Guardian,us mnews,en,GB,global,us,,http://www.theguardian.com/us-news/rss
196,60,The Guardian,us business,en,GB,global,us,,http://www.theguardian.com/us/business/rss
197,60,The Guardian,us environment,en,GB,global,us,,http://www.theguardian.com/us/environment/rss
198,60,The Guardian,us money,en,GB,global,us,,http://www.theguardian.com/us/money/rss
199,60,The Guardian,us technology,en,GB,global,us,,http://www.theguardian.com/us/technology/rss
200,60,The Guardian,science,en,GB,global,world,,https://www.theguardian.com/science/rss
201,31,The Independent,media,en,GB,global,world,,http://www.independent.co.uk/news/media/rss
202,31,The Independent,business,en,GB,global,world,,http://www.independent.co.uk/news/business/rss
203,31,The Independent,science,en,GB,global,world,,http://www.independent.co.uk/news/science/rss
204,31,The Independent,environment,en,GB,global,world,,http://www.independent.co.uk/environment/rss
205,61,The Washinton Post,business blog,en,US,global,world,,http://feeds.washingtonpost.com/rss/business
206,2,ABC News,money headlines,en,US,global,world,,http://feeds.abcnews.com/abcnews/moneyheadlines
207,2,ABC News,US headlines,en,US,global,US,,http://feeds.abcnews.com/abcnews/usheadlines
208,2,ABC News,technology headlines,en,US,global,world,,http://feeds.abcnews.com/abcnews/technologyheadlines
209,2,ABC News,world headlines,en,US,global,world,,http://feeds.abcnews.com/abcnews/internationalheadlines
210,15,CBS News,CBS investigates,en,US,global,world,,http://www.cbsnews.com/latest/rss/evening-news-cbs-news-investigates
211,15,CBS News,Sci-Tech,en,US,global,world,,http://www.cbsnews.com/latest/rss/tech
212,15,CBS News,moneywatch,en,US,global,world,,http://www.cbsnews.com/latest/rss/moneywatch
213,15,CBS News,world,en,US,global,world,,http://www.cbsnews.com/latest/rss/world
214,15,CBS News,US,en,US,global,US,,http://www.cbsnews.com/latest/rss/us
215,18,CRN,Components and Peripherals Feed,en,US,global,world,,http://www.crn.com/rss/components-peripherals/crn-feed.rss
216,18,CRN,Mobility Feed,en,US,global,world,,http://www.crn.com/rss/mobility/crn-feed.rss
217,18,CRN,Networking Feed,en,US,global,world,,http://www.crn.com/rss/networking/crn-feed.rss
218,18,CRN,Security Feed,en,US,global,world,,http://www.crn.com/rss/security/crn-feed.rss
219,18,CRN,Storage Feed,en,US,global,world,,http://www.crn.com/rss/storage/crn-feed.rss
220,18,CRN,latest news,en,US,global,world,,http://www.crn.com/rss/crn-feed.rss
221,18,CRN,Channel news feed,en,US,global,world,,www.crn.com/rss/channel-programs/crn-feed.rss
222,18,CRN,Cloud Computing Feed,en,US,global,world,,http://www.crn.com/rss/cloud/crn-feed.rss
223,18,CRN,Data Center Feed,en,US,global,world,,http://www.crn.com/rss/data-center/crn-feed.rss
224,18,CRN,Managed Services Feed,en,US,global,world,,http://www.crn.com/rss/managed-services/crn-feed.rss
225,18,CRN,Virtualization Feed,en,US,global,world,,http://www.crn.com/rss/virtualization/crn-feed.rss
226,18,CRN,Applications and OS Feed,en,US,global,world,,http://www.crn.com/rss/applications-os/crn-feed.rss
227,44,The Telegraph,Technology,en,GB,global,world,,http://www.telegraph.co.uk/technology/news/rss
228,44,The Telegraph,Finance,en,GB,global,world,,http://www.telegraph.co.uk/finance/rss
229,44,The Telegraph,World news,en,GB,global,world,,http://www.telegraph.co.uk/news/worldnews/rss
230,44,The Telegraph,UK news,en,GB,global,GB,,http://www.telegraph.co.uk/news/uknews/rss
231,19,CSR Newswire,"PR feed (PR, Reports & events?)",en,US,global,world,,http://feeds.feedburner.com/csrwire/PRfeed?format=xml
232,19,CSR Newswire,Press release,en,US,global,world,,http://feeds.feedburner.com/CsrwirePressReleases?format=xml
233,19,CSR Newswire,CSR live,en,US,global,world,,http://feeds.feedburner.com/Csrlive?format=xml
234,19,CSR Newswire,Events,en,US,global,world,,http://feeds.feedburner.com/CsrwireEvents?format=xml
235,19,CSR Newswire,CSR reports,en,US,global,world,,http://feeds.feedburner.com/CsrwireReports?format=xml
236,20,CTV News,Business,en,CA,global,world,,http://www.ctvnews.ca/rss/business/ctv-news-business-headlines-1.867648
237,20,CTV News,Tech-science,en,CA,global,world,,http://www.ctvnews.ca/rss/ctvnews-ca-sci-tech-public-rss-1.822295
238,20,CTV News,World news,en,CA,global,world,,http://www.ctvnews.ca/rss/ctvnews-ca-world-public-rss-1.822289
239,20,CTV News,Canada news,en,CA,global,CA,,http://www.ctvnews.ca/rss/ctvnews-ca-canada-public-rss-1.822284
240,35,news24,Tech-sci,en,ZA,global,world,,http://feeds.news24.com/articles/Fin24/Tech/rss
241,35,news24,World,en,ZA,global,world,,http://feeds.news24.com/articles/News24/World/rss
242,35,news24,South Africa,en,ZA,global,ZA,,http://feeds.news24.com/articles/News24/SouthAfrica/rss
243,35,news24,Africa,en,ZA,global,Africa,,http://feeds.news24.com/articles/News24/Africa/rss
244,35,news24,Zimbabwe,en,ZA,global,ZW,,http://feeds.news24.com/articles/News24/Africa/Zimbabwe/rss
245,45,The Australian,business review,en,AU,global,world,,http://feeds.feedburner.com/TheAustralianBusNews?format=xml
246,45,The Australian,technology,en,AU,global,world,,http://feeds.news.com.au/public/rss/2.0/ausit_itnews_topstories_367.xml
247,42,Sydney Morning Herald,technology,en,AU,global,world,,http://www.smh.com.au/rssheadlines/technology-news/article/rss.xml
248,42,Sydney Morning Herald,world,en,AU,global,world,,http://www.smh.com.au/rssheadlines/world/article/rss.xml
249,42,Sydney Morning Herald,NFW,en,AU,global,AU,,http://www.smh.com.au/rssheadlines/nsw/article/rss.xml
250,42,Sydney Morning Herald,business,en,AU,global,world,,http://www.smh.com.au/rssheadlines/business/article/rss.xml
251,42,Sydney Morning Herald,National,en,AU,global,AU,,http://www.smh.com.au/rssheadlines/national/article/rss.xml
252,43,Der Spiegel (en),international - all,en,DE,global,world,,http://www.spiegel.de/international/index.rss
253,17,Corriere Della Sera (en),main,en,IT,global,it,,http://xml.corriereobjects.it/rss/english.xml
254,62,Seeking Alpha,israel,en,US,global,il,,http://seekingalpha.com/tag/israel.xml
255,62,Seeking Alpha,japan,en,US,global,jp,,http://seekingalpha.com/tag/japan.xml
256,62,Seeking Alpha,financial,en,US,global,world,,http://seekingalpha.com/sector/financial.xml
257,62,Seeking Alpha,healthcare,en,US,global,world,,http://seekingalpha.com/sector/healthcare.xml
258,62,Seeking Alpha,utilities,en,US,global,world,,http://seekingalpha.com/sector/utilities.xml
259,62,Seeking Alpha,india,en,US,global,in,,http://seekingalpha.com/tag/india.xml
260,62,Seeking Alpha,all news,en,US,global,il,,http://seekingalpha.com/market_currents.xml
261,16,China Daily,bizchina,en,CN,global,CH,,http://www.chinadaily.com.cn/rss/bizchina_rss.xml
262,16,China Daily,world,en,CN,global,world,,http://www.chinadaily.com.cn/rss/world_rss.xml
263,41,Shanghai Daily,business,en,CN,global,world,,http://rss.shanghaidaily.com/Portal/mainSite/Handler.ashx?i=8
264,41,Shanghai Daily,world,en,CN,global,world,,http://rss.shanghaidaily.com/Portal/mainSite/Handler.ashx?i=7
265,55,Triple Pundit,main feed,en,US,global,world,,http://www.triplepundit.com/feed/
266,9,Al Jazeera (en),all,en,QA,global,world,,http://www.aljazeera.com/xml/rss/all.xml
267,24,GreenBiz,All feeds,en,US,global,world,,http://www.greenbiz.com/rss.xml
268,52,The HK Standard,finance / all (??),en,HK,global,world,,http://finance.thestandard.com.hk/feed/breaking.xml
269,6,Trends News Agency,business,en,AZ,global,az,,http://en.trend.az/feeds/business.rss
